Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6",0402,5,1u,
"C10, C11",0402,2,22p,
"C13, C14, C15, C16, C5, C7, C8, C9",0402,8,100n,
C3,0603,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D39, D4, D40, D44, D45, D47, D49, D5, D6, D7, D8, D9",D_SOD-123_CLEAN,42,D_Small,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole_Pad,
H7,MountingHole_6mm_Pad,1,spring,
H8,MountingHole_2.2mm_M2_Pad,1,clearance,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,ZX-SH1.0-4PWT,
"R3, R8, R9",0402,3,5.1k,
"R4, R5",0402,2,27,
"R6, R7",0402,2,1k,
RV1,RS6011YA600M,1,R_Potentiometer_Dual_MountingPin,
"S40, S44, S45",STAB_MX_P_2u,3,MX_stab,
S41,STAB_MX_P_7u,1,MX_stab,
S42,STAB_MX_P_6.25u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW6, SW7, SW8, SW9",SW_MX_1u,50,MX_SW_solder,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206PxxxMR,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
