Designator,Mid X,Mid Y,Rotation,Layer
_2,63.428296,-65.704463,0.0,top
,63.428301,-32.366982,0.0,top
C1,-36.63739,-47.504106,97.0,bottom
C10,-40.479348,-49.787918,7.0,bottom
C11,-38.463674,-47.279868,97.0,bottom
C12,-35.049323,-47.699096,97.0,bottom
C13,-29.80292,-25.115148,7.0,bottom
C14,-32.065919,-24.837288,187.0,bottom
C15,-30.457106,-45.910398,97.0,bottom
C16,-32.14825,-61.078633,97.0,bottom
C17,-34.604135,-63.35632,7.0,bottom
C2,-34.136185,-47.811222,97.0,bottom
C3,-37.311551,-58.574471,277.0,bottom
C4,-40.367232,-48.874765,7.0,bottom
C5,-37.550542,-47.391981,97.0,bottom
C6,-29.491869,-51.137005,187.0,bottom
C7,-29.930601,-54.710175,187.0,bottom
C8,-36.398424,-58.68658,277.0,bottom
C9,-40.918085,-53.36108,7.0,bottom
D1,-3.317134,-2.591601,52.0,bottom
D10,-44.615557,-26.310386,52.0,bottom
D11,-7.960361,-40.407623,52.0,bottom
D12,-27.448762,-42.813014,52.0,bottom
D13,10.367246,-47.456232,52.0,bottom
D14,29.275248,-49.777836,52.0,bottom
D15,-46.937176,-45.218397,52.0,bottom
D16,-20.860587,-58.699237,232.0,bottom
D18,8.04563,-66.364237,52.0,bottom
D19,34.635023,-69.628999,52.0,bottom
D2,-22.805542,-4.996997,52.0,bottom
D20,124.264961,-3.317119,38.0,bottom
D21,87.02935,-12.687337,38.0,bottom
D22,105.93735,-10.365724,38.0,bottom
D23,143.753359,-5.722502,38.0,bottom
D24,163.241771,-8.127896,38.0,bottom
D25,126.58657,-22.225122,38.0,bottom
D26,89.350963,-31.595349,38.0,bottom
D27,108.258964,-29.273732,38.0,bottom
D28,146.074969,-24.630508,38.0,bottom
D29,165.563382,-27.035898,38.0,bottom
D3,15.010468,-9.640218,52.0,bottom
D30,128.908176,-41.133121,38.0,bottom
D31,91.672579,-50.503344,38.0,bottom
D32,110.580573,-48.181735,38.0,bottom
D33,148.396579,-43.538512,38.0,bottom
D34,167.884988,-45.943896,38.0,bottom
D36,93.994187,-69.411351,38.0,bottom
D37,120.583566,-66.146584,38.0,bottom
D38,134.17369,-64.477928,38.0,bottom
D39,60.928305,-17.659022,270.0,bottom
D4,33.918471,-11.961826,52.0,bottom
D40,60.352434,-55.60613,270.0,bottom
D41,55.552435,-73.156126,90.0,bottom
D5,-42.293956,-7.402392,52.0,bottom
D6,-5.638745,-21.499618,52.0,bottom
D7,-30.291246,-21.871452,52.0,bottom
D8,12.688862,-28.548219,52.0,bottom
D9,31.596858,-30.869833,52.0,bottom
EC1,63.428301,-32.616981,0.0,top
EC2,63.50138892618068,-65.94353918899075,17.0,top
J1,-26.063378,-29.040134,277.0,bottom
J2,-39.115524743654944,-59.424941858188205,218.0,top
PSW1,-10.689922,-67.523012,7.0,bottom
PSW2,-10.373056,-64.942409,7.0,bottom
R1,-35.152626,-45.83261,277.0,bottom
R2,-36.085605,-45.718052,97.0,bottom
R3,-17.89354,-67.112058,187.0,bottom
R4,-36.443991,-60.534818,277.0,bottom
R5,-17.778976,-66.17906,187.0,bottom
R6,-17.576668,-64.53144,7.0,bottom
R7,-17.462114,-63.59844,7.0,bottom
SW1,0.0,0.0,7.0,bottom
SW10,-41.298425,-23.718783,7.0,bottom
SW11,-4.643233,-37.816009,7.0,bottom
SW12,-24.131628,-40.221398,7.0,bottom
SW13,13.68438,-44.864623,7.0,bottom
SW14,32.592384,-47.186223,7.0,bottom
SW15,-43.620033,-42.626779,7.0,bottom
SW16,-9.908733,-61.160806,7.0,bottom
SW17,20.816771,-64.93343,187.0,bottom
SW18,11.362767,-63.772623,7.0,bottom
SW19,30.270769,-66.094227,7.0,bottom
SW2,-19.488408,-2.405386,7.0,bottom
SW20,126.856594,3e-06,353.0,bottom
SW21,89.620981,-9.370218,353.0,bottom
SW22,108.528984,-7.048611,353.0,bottom
SW23,146.344995,-2.405383,353.0,bottom
SW24,165.8334,-4.810782,353.0,bottom
SW25,129.178194,-18.907995,353.0,bottom
SW26,91.942591,-28.278223,353.0,bottom
SW27,110.850597,-25.956612,353.0,bottom
SW28,148.666607,-21.313386,353.0,bottom
SW29,168.15501,-23.71879,353.0,bottom
SW3,18.327597,-7.048605,7.0,bottom
SW30,131.499808,-37.816009,353.0,bottom
SW31,94.2642,-47.186224,353.0,bottom
SW32,113.172212,-44.864617,353.0,bottom
SW33,150.988219,-40.221385,353.0,bottom
SW34,170.476622,-42.626793,353.0,bottom
SW35,106.039811,-64.933426,173.0,bottom
SW36,96.585826,-66.094233,353.0,bottom
SW37,115.493825,-63.772621,353.0,bottom
SW38,136.765327,-61.160809,353.0,bottom
SW4,37.235607,-9.370217,7.0,bottom
SW5,-38.976813,-4.810781,7.0,bottom
SW6,-2.321619,-18.908008,7.0,bottom
SW7,-21.81002,-21.313399,7.0,bottom
SW8,16.005989,-25.956613,7.0,bottom
SW9,34.914002,-28.27823,7.0,bottom
U1,-31.197662,-27.120117,7.0,bottom
U2,-35.326836,-53.241589,97.0,bottom
U3,-32.303029,-46.912911,97.0,bottom
Y1,-34.292154,-60.815397,97.0,bottom
