Designator,Mid X,Mid Y,Rotation,Layer
D1,35.56,-12.065,315.0,bottom
D10,246.828361,-19.926706,327.0,bottom
D11,269.866074,-15.684511,323.0,bottom
D12,293.143589,-13.05968,319.0,bottom
D13,316.5475,-12.065,315.0,bottom
D14,345.1225,-12.065,315.0,bottom
D16,40.3225,-31.115,315.0,bottom
D17,65.658896,-31.219187,313.0,bottom
D18,87.712138,-32.583578,309.0,bottom
D19,109.616485,-35.483002,305.0,bottom
D2,54.61,-12.065,315.0,bottom
D20,131.26522,-39.903332,301.0,bottom
D21,152.552873,-45.823035,297.0,bottom
D22,198.151672,-55.116269,337.0,bottom
D23,218.853259,-47.39284,333.0,bottom
D24,240.043178,-41.132295,329.0,bottom
D25,261.618192,-36.365134,325.0,bottom
D26,283.473191,-33.114583,321.0,bottom
D27,305.501699,-31.396477,317.0,bottom
D28,326.0725,-31.115,315.0,bottom
D29,335.5975,-12.065,315.0,bottom
D3,78.026286,-12.705317,311.0,bottom
D30,37.94125,-50.165,315.0,bottom
D32,70.183297,-50.439777,312.0,bottom
D33,90.884758,-52.072953,308.0,bottom
D34,111.421866,-55.146212,304.0,bottom
D35,131.694567,-59.644581,300.0,bottom
D36,151.604095,-65.546145,296.0,bottom
D37,210.102637,-70.834911,336.0,bottom
D38,229.678635,-63.90685,332.0,bottom
D39,249.690224,-58.361217,328.0,bottom
D4,101.340864,-14.977512,307.0,bottom
D40,270.039909,-54.225031,324.0,bottom
D41,290.62855,-51.518443,320.0,bottom
D42,311.35584,-50.254639,316.0,bottom
D43,342.74125,-50.165,315.0,bottom
D45,349.885,-31.115,315.0,bottom
D47,47.46625,-69.215,315.0,bottom
D48,78.887964,-70.053201,310.0,bottom
D49,98.103273,-72.234144,307.0,bottom
D5,124.440149,-18.870515,303.0,bottom
D50,117.312159,-75.780216,302.0,bottom
D51,136.131156,-80.639208,298.0,bottom
D52,154.565365,-86.79911,294.0,bottom
D53,207.951312,-92.342681,338.0,bottom
D54,226.032244,-85.212159,334.0,bottom
D55,244.566532,-79.360269,330.0,bottom
D56,263.463879,-74.815519,326.0,bottom
D57,282.632219,-71.600053,322.0,bottom
D58,301.978165,-69.729536,318.0,bottom
D59,328.45375,-69.215,315.0,bottom
D6,147.211603,-24.365359,299.0,bottom
D60,354.6475,-69.215,315.0,bottom
D61,37.94125,-88.265,315.0,bottom
D62,62.23651,-88.284511,313.0,bottom
D63,87.434567,-89.971971,307.0,bottom
D64,109.121524,-93.281858,301.0,bottom
D65,125.487691,-98.39783,299.0,bottom
D67,160.187751,-109.362654,294.0,bottom
D68,211.30716,-111.183162,336.0,bottom
D69,227.591086,-105.830465,334.0,bottom
D7,169.544286,-31.435275,295.0,bottom
D71,262.186874,-94.51082,329.0,bottom
D72,283.772371,-90.67897,323.0,bottom
D73,308.924085,-88.4618,317.0,bottom
D74,333.21625,-88.265,315.0,bottom
D75,354.6475,-88.265,315.0,bottom
D8,201.919576,-33.172737,335.0,bottom
D9,224.142688,-25.765597,331.0,bottom
