Designator,Mid X,Mid Y,Rotation,Layer
D1,7.14375,-11.90625,315.0,bottom
D10,178.59375,-11.90625,315.0,bottom
D11,197.64375,-11.90625,315.0,bottom
D12,216.69375,-11.90625,315.0,bottom
D13,235.74375,-11.90625,315.0,bottom
D14,254.79375,-11.90625,315.0,bottom
D15,264.31875,-11.90625,315.0,bottom
D17,11.90625,-30.95625,315.0,bottom
D18,35.71875,-30.95625,315.0,bottom
D19,54.76875,-30.95625,315.0,bottom
D2,26.19375,-11.90625,315.0,bottom
D20,73.81875,-30.95625,315.0,bottom
D21,92.86875,-30.95625,315.0,bottom
D22,111.91875,-30.95625,315.0,bottom
D23,130.96875,-30.95625,315.0,bottom
D24,150.01875,-30.95625,315.0,bottom
D25,169.06875,-30.95625,315.0,bottom
D26,188.11875,-30.95625,315.0,bottom
D27,207.16875,-30.95625,315.0,bottom
D28,226.21875,-30.95625,315.0,bottom
D29,245.26875,-30.95625,315.0,bottom
D3,45.24375,-11.90625,315.0,bottom
D31,269.24,-31.115,315.0,bottom
D32,303.2125,-11.90625,315.0,bottom
D33,13.97,-50.00625,315.0,bottom
D35,40.48125,-50.00625,315.0,bottom
D36,59.53125,-50.00625,315.0,bottom
D37,78.58125,-50.00625,315.0,bottom
D38,97.63125,-50.00625,315.0,bottom
D39,116.68125,-50.00625,315.0,bottom
D4,64.29375,-11.90625,315.0,bottom
D40,135.73125,-50.00625,315.0,bottom
D41,154.78125,-50.00625,315.0,bottom
D42,173.83125,-50.00625,315.0,bottom
D43,192.88125,-50.00625,315.0,bottom
D44,211.93125,-50.00625,315.0,bottom
D45,230.98125,-50.00625,315.0,bottom
D46,250.03125,-50.00625,315.0,bottom
D48,303.2125,-50.00625,225.0,bottom
D49,19.05,-69.05625,315.0,bottom
D5,83.34375,-11.90625,315.0,bottom
D50,50.00625,-69.05625,315.0,bottom
D51,69.05625,-69.05625,315.0,bottom
D52,88.10625,-69.05625,315.0,bottom
D53,107.15625,-69.05625,315.0,bottom
D54,126.20625,-69.05625,315.0,bottom
D55,145.25625,-69.05625,315.0,bottom
D56,164.30625,-69.05625,315.0,bottom
D57,183.35625,-69.05625,315.0,bottom
D58,202.40625,-69.05625,315.0,bottom
D59,221.45625,-69.05625,315.0,bottom
D6,102.39375,-11.90625,315.0,bottom
D60,247.65,-69.05625,315.0,bottom
D61,273.84375,-69.05625,315.0,bottom
D62,4.1275,-88.265,315.0,bottom
D64,27.94,-88.265,315.0,bottom
D66,52.07,-88.265,315.0,bottom
D68,128.5875,-88.10625,315.0,bottom
D7,121.44375,-11.90625,315.0,bottom
