Designator,Mid X,Mid Y,Rotation,Layer
C1,105.5624,-76.7588,90.0,bottom
C10,92.329,-92.6084,225.0,bottom
C11,91.0844,-88.4174,135.0,bottom
C12,119.6848,-86.36,180.0,bottom
C13,96.8248,-88.7984,0.0,bottom
C14,96.4438,-89.7382,0.0,bottom
C15,108.3564,-85.9536,180.0,bottom
C16,104.7242,-90.3986,180.0,bottom
C2,105.9942,-75.3872,180.0,bottom
C3,100.4824,-78.8924,45.0,bottom
C4,103.7336,-80.7466,135.0,bottom
C5,105.9942,-82.2452,180.0,bottom
C6,100.0252,-80.137,45.0,bottom
C7,103.0732,-80.0862,135.0,bottom
C8,105.9942,-81.3308,180.0,bottom
C9,96.774,-82.6516,45.0,bottom
D1,6.985,-12.319,225.0,bottom
D10,178.435,-12.319,225.0,bottom
D11,197.485,-12.319,225.0,bottom
D12,216.535,-12.319,225.0,bottom
D13,235.585,-12.319,225.0,bottom
D14,254.635,-12.319,225.0,bottom
D15,264.16,-12.319,225.0,bottom
D17,11.7475,-31.369,225.0,bottom
D18,35.56,-31.369,225.0,bottom
D19,54.61,-31.369,225.0,bottom
D2,26.035,-12.319,225.0,bottom
D20,73.66,-31.369,225.0,bottom
D21,92.71,-31.369,225.0,bottom
D22,111.76,-31.369,225.0,bottom
D23,130.81,-31.369,225.0,bottom
D24,149.86,-31.369,225.0,bottom
D25,168.91,-31.369,225.0,bottom
D26,187.96,-31.369,225.0,bottom
D27,207.01,-31.369,225.0,bottom
D28,226.06,-31.369,225.0,bottom
D29,245.11,-31.369,225.0,bottom
D3,45.085,-12.319,225.0,bottom
D31,271.30375,-40.894,225.0,bottom
D32,312.166,-12.319,225.0,bottom
D33,9.36625,-50.419,225.0,bottom
D35,40.3225,-50.419,225.0,bottom
D36,59.3725,-50.419,225.0,bottom
D37,78.4225,-50.419,225.0,bottom
D38,97.4725,-50.419,225.0,bottom
D39,116.5225,-50.419,225.0,bottom
D4,64.135,-12.319,225.0,bottom
D40,135.5725,-50.419,225.0,bottom
D41,154.6225,-50.419,225.0,bottom
D42,173.6725,-50.419,225.0,bottom
D43,192.7225,-50.419,225.0,bottom
D44,211.7725,-50.419,225.0,bottom
D45,230.8225,-50.419,225.0,bottom
D46,249.8725,-50.419,225.0,bottom
D48,312.166,-50.419,225.0,bottom
D49,18.89125,-69.469,225.0,bottom
D5,83.185,-12.319,225.0,bottom
D50,49.8475,-69.469,225.0,bottom
D51,68.8975,-69.469,225.0,bottom
D52,87.9475,-69.469,225.0,bottom
D53,106.9975,-69.469,225.0,bottom
D54,126.0475,-69.469,225.0,bottom
D55,145.0975,-69.469,225.0,bottom
D56,164.1475,-69.469,225.0,bottom
D57,183.1975,-69.469,225.0,bottom
D58,202.2475,-69.469,225.0,bottom
D59,221.2975,-69.469,225.0,bottom
D6,102.235,-12.319,225.0,bottom
D60,247.49125,-69.469,225.0,bottom
D61,273.685,-69.469,225.0,bottom
D62,8.89,-88.519,225.0,bottom
D64,32.7025,-88.519,225.0,bottom
D66,56.515,-88.519,225.0,bottom
D68,128.42875,-88.519,225.0,bottom
D7,121.285,-12.319,225.0,bottom
D70,199.86625,-88.519,225.0,bottom
D72,230.759,-88.519,225.0,bottom
D73,254.635,-88.519,225.0,bottom
D74,273.685,-88.519,225.0,bottom
D75,292.735,-88.519,225.0,bottom
D8,140.335,-12.319,225.0,bottom
D9,159.385,-12.319,225.0,bottom
J3,75.5396,-83.175,0.0,bottom
P1,102.3112,-35.6362,270.0,bottom
R3,76.7588,-85.08,90.0,bottom
R4,106.431024,-79.877976,315.0,bottom
R5,105.745224,-79.192176,315.0,bottom
R6,94.2848,-88.4174,225.0,bottom
R7,119.7102,-83.4898,0.0,bottom
R8,119.7102,-84.455,180.0,bottom
R9,119.7102,-85.4202,0.0,bottom
SW32,314.299995,-9.550001,0.0,top
SW48,314.299995,-47.649999,0.0,top
SW76,90.4494,-85.075001,0.0,bottom
SW77,122.936,-85.075,0.0,bottom
U1,101.6,-85.725,45.0,bottom
U2,103.378,-76.9874,270.0,bottom
U4,113.919,-84.074,180.0,bottom
Y1,92.964,-90.17,225.0,bottom
