Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6",0402,5,1u,
"C10, C11",0402,2,22p,
"C13, C14, C15, C16, C5, C7, C8, C9",0402,8,100n,
C3,0603,1,10u,
"D1, D10, D11, D12, D13, D15, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D31, D32, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D48, D5, D50, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D66, D68, D7, D70, D72, D74, D75, D76, D77, D8, D9",D_SOD-123_CLEAN,65,D_Small,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole_Pad,
H5,info,1,info,
H7,MountingHole_6mm_Pad,1,MountingHole_Pad,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,ZX-SH1.0-4PWT,
J3,PinHeader_1x05_P1.27mm_Vertical,1,Conn_01x05,
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
"KIKIT_MB_10_1, KIKIT_MB_10_2, KIKIT_MB_10_3, KIKIT_MB_10_4, KIKIT_MB_10_5, KIKIT_MB_10_6, KIKIT_MB_1_1, KIKIT_MB_1_2, KIKIT_MB_1_3, KIKIT_MB_1_4, KIKIT_MB_1_5, KIKIT_MB_1_6, KIKIT_MB_2_1, KIKIT_MB_2_2, KIKIT_MB_2_3, KIKIT_MB_2_4, KIKIT_MB_2_5, KIKIT_MB_2_6, KIKIT_MB_3_1, KIKIT_MB_3_2, KIKIT_MB_3_3, KIKIT_MB_3_4, KIKIT_MB_3_5, KIKIT_MB_3_6, KIKIT_MB_4_1, KIKIT_MB_4_2, KIKIT_MB_4_3, KIKIT_MB_4_4, KIKIT_MB_4_5, KIKIT_MB_4_6, KIKIT_MB_5_1, KIKIT_MB_5_2, KIKIT_MB_5_3, KIKIT_MB_5_4, KIKIT_MB_5_5, KIKIT_MB_5_6, KIKIT_MB_6_1, KIKIT_MB_6_2, KIKIT_MB_6_3, KIKIT_MB_6_4, KIKIT_MB_6_5, KIKIT_MB_6_6, KIKIT_MB_7_1, KIKIT_MB_7_2, KIKIT_MB_7_3, KIKIT_MB_7_4, KIKIT_MB_7_5, KIKIT_MB_7_6, KIKIT_MB_8_1, KIKIT_MB_8_2, KIKIT_MB_8_3, KIKIT_MB_8_4, KIKIT_MB_8_5, KIKIT_MB_8_6, KIKIT_MB_9_1, KIKIT_MB_9_2, KIKIT_MB_9_3, KIKIT_MB_9_4, KIKIT_MB_9_5, KIKIT_MB_9_6, KIKIT_TO_1, KIKIT_TO_2, KIKIT_TO_3, KIKIT_TO_4",NPTH,64,NPTH,
"R3, R8, R9",0402,3,5.1k,
"R4, R5",0402,2,27,
"R6, R7",0402,2,1k,
"S15, S47, S50",STAB_MX_P_2u,3,MX_stab,
S70,STAB_MX_P_6.25u,1,MX_stab,
S71,STAB_MX_P_7u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW15, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW47, SW5, SW50, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW8, SW9",SW_MX_HS_S_CPG151101S11_1u,68,MX_SW_solder,
"SW32, SW48",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch,
SW78,PinHeader_1x02_P1.27mm_Vertical,1,SW_RESET,
SW79,PinHeader_1x02_P1.27mm_Vertical,1,SW_BOOTSEL,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206PxxxMR,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
