Designator,Mid X,Mid Y,Rotation,Layer
C1,105.5624,-83.759299,90.0,bottom
C10,92.329,-99.608899,225.0,bottom
C11,91.0844,-95.417899,135.0,bottom
C12,119.6848,-93.360499,180.0,bottom
C13,96.8248,-95.798899,0.0,bottom
C14,96.4438,-96.738699,0.0,bottom
C15,108.3564,-92.954099,180.0,bottom
C16,104.7242,-97.399099,180.0,bottom
C2,105.9942,-82.387699,180.0,bottom
C3,100.4824,-85.892899,45.0,bottom
C4,103.7336,-87.747099,135.0,bottom
C5,105.9942,-89.245699,180.0,bottom
C6,100.0252,-87.137499,45.0,bottom
C7,103.0732,-87.086699,135.0,bottom
C8,105.9942,-88.331299,180.0,bottom
C9,96.774,-89.652099,45.0,bottom
D1,7.21471,-18.977208,225.0,bottom
D10,178.66471,-18.977208,225.0,bottom
D11,197.71471,-18.977208,225.0,bottom
D12,216.76471,-18.977208,225.0,bottom
D13,235.81471,-18.977208,225.0,bottom
D15,264.38971,-18.977208,225.0,bottom
D17,11.97721,-38.027208,225.0,bottom
D18,35.78971,-38.027208,225.0,bottom
D19,54.83971,-38.027208,225.0,bottom
D2,26.26471,-18.977208,225.0,bottom
D20,73.88971,-38.027208,225.0,bottom
D21,92.93971,-38.027208,225.0,bottom
D22,111.98971,-38.027208,225.0,bottom
D23,131.03971,-38.027208,225.0,bottom
D24,150.08971,-38.027208,225.0,bottom
D25,169.13971,-38.027208,225.0,bottom
D26,188.18971,-38.027208,225.0,bottom
D27,207.23971,-38.027208,225.0,bottom
D28,226.28971,-38.027208,225.0,bottom
D29,245.33971,-38.027208,225.0,bottom
D3,45.31471,-18.977208,225.0,bottom
D31,269.15221,-38.027208,225.0,bottom
D32,307.252218,-22.549334,225.0,bottom
D34,14.35846,-57.077208,225.0,bottom
D35,40.55221,-57.077208,225.0,bottom
D36,59.60221,-57.077208,225.0,bottom
D37,78.65221,-57.077208,225.0,bottom
D38,97.70221,-57.077208,225.0,bottom
D39,116.75221,-57.077208,225.0,bottom
D4,64.36471,-18.977208,225.0,bottom
D40,135.80221,-57.077208,225.0,bottom
D41,154.85221,-57.077208,225.0,bottom
D42,173.90221,-57.077208,225.0,bottom
D43,192.95221,-57.077208,225.0,bottom
D44,212.00221,-57.077208,225.0,bottom
D45,231.05221,-57.077208,225.0,bottom
D46,262.00846,-57.077208,225.0,bottom
D48,307.252218,-60.649334,225.0,bottom
D5,83.41471,-18.977208,225.0,bottom
D50,19.12096,-76.127208,225.0,bottom
D52,50.07721,-76.127208,225.0,bottom
D53,69.12721,-76.127208,225.0,bottom
D54,88.17721,-76.127208,225.0,bottom
D55,107.22721,-76.127208,225.0,bottom
D56,126.27721,-76.127208,225.0,bottom
D57,145.32721,-76.127208,225.0,bottom
D58,164.37721,-76.127208,225.0,bottom
D59,183.42721,-76.127208,225.0,bottom
D6,102.46471,-18.977208,225.0,bottom
D60,202.47721,-76.127208,225.0,bottom
D61,221.52721,-76.127208,225.0,bottom
D62,247.72096,-76.127208,225.0,bottom
D63,273.91471,-76.127208,225.0,bottom
D64,4.83321,-98.749334,225.0,bottom
D66,28.64571,-98.749334,225.0,bottom
D68,52.45821,-98.749334,225.0,bottom
D7,121.51471,-18.977208,225.0,bottom
D70,128.65846,-95.177208,225.0,bottom
D72,200.09596,-95.177208,225.0,bottom
D75,254.86471,-95.177208,225.0,bottom
D76,273.91471,-95.177208,225.0,bottom
D77,292.96471,-95.177208,225.0,bottom
D8,140.56471,-18.977208,225.0,bottom
D9,159.61471,-18.977208,225.0,bottom
H5,104.394,-92.852499,0.0,top
J1,98.552,-42.560499,270.0,bottom
J3,75.5396,-92.715499,0.0,bottom
KIKIT_FID_B_1,6.0,-3.85,0.0,bottom
KIKIT_FID_B_2,317.849999,-3.85,0.0,bottom
KIKIT_FID_B_3,6.0,-105.401499,0.0,bottom
KIKIT_FID_B_4,317.849999,-105.401499,0.0,bottom
KIKIT_FID_T_1,6.0,-3.85,0.0,top
KIKIT_FID_T_2,317.849999,-3.85,0.0,top
KIKIT_FID_T_3,6.0,-105.401499,0.0,top
KIKIT_FID_T_4,317.849999,-105.401499,0.0,top
KIKIT_TO_1,3.0,-2.85,0.0,top
KIKIT_TO_2,320.849999,-2.85,0.0,top
KIKIT_TO_3,3.0,-106.401499,0.0,top
KIKIT_TO_4,320.849999,-106.401499,0.0,top
R3,76.7588,-92.080499,90.0,bottom
R4,106.431024,-86.878475,315.0,bottom
R5,105.745224,-86.192675,315.0,bottom
R6,94.2848,-95.417899,225.0,bottom
R7,119.7102,-90.490299,0.0,bottom
R8,119.7102,-91.455499,180.0,bottom
