Designator,Mid X,Mid Y,Rotation,Layer
C1,105.5624,-76.7588,90.0,bottom
C10,92.329,-92.6084,225.0,bottom
C11,91.0844,-88.4174,135.0,bottom
C12,119.6848,-86.36,180.0,bottom
C13,96.8248,-88.7984,0.0,bottom
C14,96.4438,-89.7382,0.0,bottom
C15,108.3564,-85.9536,180.0,bottom
C16,104.7242,-90.3986,180.0,bottom
C2,105.9942,-75.3872,180.0,bottom
C3,100.4824,-78.8924,45.0,bottom
C4,103.7336,-80.7466,135.0,bottom
C5,105.9942,-82.2452,180.0,bottom
C6,100.0252,-80.137,45.0,bottom
C7,103.0732,-80.0862,135.0,bottom
C8,105.9942,-81.3308,180.0,bottom
C9,96.774,-82.6516,45.0,bottom
D1,7.21471,-11.976709,225.0,bottom
D10,178.66471,-11.976709,225.0,bottom
D11,197.71471,-11.976709,225.0,bottom
D12,216.76471,-11.976709,225.0,bottom
D13,235.81471,-11.976709,225.0,bottom
D15,264.38971,-11.976709,225.0,bottom
D17,11.97721,-31.026709,225.0,bottom
D18,35.78971,-31.026709,225.0,bottom
D19,54.83971,-31.026709,225.0,bottom
D2,26.26471,-11.976709,225.0,bottom
D20,73.88971,-31.026709,225.0,bottom
D21,92.93971,-31.026709,225.0,bottom
D22,111.98971,-31.026709,225.0,bottom
D23,131.03971,-31.026709,225.0,bottom
D24,150.08971,-31.026709,225.0,bottom
D25,169.13971,-31.026709,225.0,bottom
D26,188.18971,-31.026709,225.0,bottom
D27,207.23971,-31.026709,225.0,bottom
D28,226.28971,-31.026709,225.0,bottom
D29,245.33971,-31.026709,225.0,bottom
D3,45.31471,-11.976709,225.0,bottom
D31,269.15221,-31.026709,225.0,bottom
D32,307.252218,-15.548835,225.0,bottom
D34,14.35846,-50.076709,225.0,bottom
D35,40.55221,-50.076709,225.0,bottom
D36,59.60221,-50.076709,225.0,bottom
D37,78.65221,-50.076709,225.0,bottom
D38,97.70221,-50.076709,225.0,bottom
D39,116.75221,-50.076709,225.0,bottom
D4,64.36471,-11.976709,225.0,bottom
D40,135.80221,-50.076709,225.0,bottom
D41,154.85221,-50.076709,225.0,bottom
D42,173.90221,-50.076709,225.0,bottom
D43,192.95221,-50.076709,225.0,bottom
D44,212.00221,-50.076709,225.0,bottom
D45,231.05221,-50.076709,225.0,bottom
D46,262.00846,-50.076709,225.0,bottom
D48,307.252218,-53.648835,225.0,bottom
D5,83.41471,-11.976709,225.0,bottom
D50,19.12096,-69.126709,225.0,bottom
D52,50.07721,-69.126709,225.0,bottom
D53,69.12721,-69.126709,225.0,bottom
D54,88.17721,-69.126709,225.0,bottom
D55,107.22721,-69.126709,225.0,bottom
D56,126.27721,-69.126709,225.0,bottom
D57,145.32721,-69.126709,225.0,bottom
D58,164.37721,-69.126709,225.0,bottom
D59,183.42721,-69.126709,225.0,bottom
D6,102.46471,-11.976709,225.0,bottom
D60,202.47721,-69.126709,225.0,bottom
D61,221.52721,-69.126709,225.0,bottom
D62,247.72096,-69.126709,225.0,bottom
D63,273.91471,-69.126709,225.0,bottom
D64,4.83321,-91.748835,225.0,bottom
D66,28.64571,-91.748835,225.0,bottom
D68,52.45821,-91.748835,225.0,bottom
D7,121.51471,-11.976709,225.0,bottom
D70,128.65846,-88.176709,225.0,bottom
D72,200.09596,-88.176709,225.0,bottom
D75,254.86471,-88.176709,225.0,bottom
D76,273.91471,-88.176709,225.0,bottom
D77,292.96471,-88.176709,225.0,bottom
D8,140.56471,-11.976709,225.0,bottom
D9,159.61471,-11.976709,225.0,bottom
H5,104.394,-85.852,0.0,top
J1,98.552,-35.56,270.0,bottom
J3,75.5396,-85.715,0.0,bottom
R3,76.7588,-85.08,90.0,bottom
R4,106.431024,-79.877976,315.0,bottom
R5,105.745224,-79.192176,315.0,bottom
R6,94.2848,-88.4174,225.0,bottom
R7,119.7102,-83.4898,0.0,bottom
R8,119.7102,-84.455,180.0,bottom
R9,119.7102,-85.4202,0.0,bottom
SW1,9.525,-9.525,0.0,bottom
SW10,180.975,-9.525,0.0,bottom
SW11,200.025,-9.525,0.0,bottom
SW12,219.075,-9.525,0.0,bottom
SW13,238.125,-9.525,0.0,bottom
SW15,266.7,-9.525,0.0,bottom
SW17,14.2875,-28.575,0.0,bottom
SW18,38.1,-28.575,0.0,bottom
SW19,57.15,-28.575,0.0,bottom
SW2,28.575,-9.525,0.0,bottom
SW20,76.2,-28.575,0.0,bottom
SW21,95.25,-28.575,0.0,bottom
SW22,114.3,-28.575,0.0,bottom
SW23,133.35,-28.575,0.0,bottom
SW24,152.4,-28.575,0.0,bottom
SW25,171.45,-28.575,0.0,bottom
SW26,190.5,-28.575,0.0,bottom
SW27,209.55,-28.575,0.0,bottom
SW28,228.6,-28.575,0.0,bottom
SW29,247.65,-28.575,0.0,bottom
SW3,47.625,-9.525,0.0,bottom
SW30,271.4625,-28.575,0.0,bottom
SW32,314.2995,-9.8,0.0,top
SW34,16.66875,-47.625,0.0,bottom
SW35,42.8625,-47.625,0.0,bottom
SW36,61.9125,-47.625,0.0,bottom
SW37,80.9625,-47.625,0.0,bottom
SW38,100.0125,-47.625,0.0,bottom
SW39,119.0625,-47.625,0.0,bottom
SW4,66.675,-9.525,0.0,bottom
SW40,138.1125,-47.625,0.0,bottom
SW41,157.1625,-47.625,0.0,bottom
SW42,176.2125,-47.625,0.0,bottom
SW43,195.2625,-47.625,0.0,bottom
SW44,214.3125,-47.625,0.0,bottom
SW45,233.3625,-47.625,0.0,bottom
SW47,264.31875,-47.625,0.0,bottom
SW48,314.2995,-47.9,0.0,top
SW5,85.725,-9.525,0.0,bottom
SW50,21.43125,-66.675,0.0,bottom
SW52,52.3875,-66.675,0.0,bottom
SW53,71.4375,-66.675,0.0,bottom
SW54,90.4875,-66.675,0.0,bottom
SW55,109.5375,-66.675,0.0,bottom
SW56,128.5875,-66.675,0.0,bottom
SW57,147.6375,-66.675,0.0,bottom
SW58,166.6875,-66.675,0.0,bottom
SW59,185.7375,-66.675,0.0,bottom
SW6,104.775,-9.525,0.0,bottom
SW60,204.7875,-66.675,0.0,bottom
SW61,223.8375,-66.675,0.0,bottom
SW62,250.03125,-66.675,0.0,bottom
SW63,276.225,-66.675,0.0,bottom
SW64,11.90625,-85.725,0.0,bottom
SW65,14.2875,-85.725,180.0,bottom
SW66,35.71875,-85.725,0.0,bottom
SW67,38.1,-85.725,180.0,bottom
SW68,59.53125,-85.725,0.0,bottom
SW69,61.9125,-85.725,180.0,bottom
SW7,123.825,-9.525,0.0,bottom
SW70,130.96875,-85.725,0.0,bottom
SW71,142.875,-85.725,180.0,bottom
SW72,202.40625,-85.725,0.0,bottom
SW73,223.8375,-85.725,0.0,bottom
SW74,226.21875,-85.725,180.0,bottom
SW75,257.175,-85.725,0.0,bottom
SW76,276.225,-85.725,0.0,bottom
SW77,295.275,-85.725,0.0,bottom
SW78,90.4494,-85.71,0.0,top
SW79,122.936,-86.280698,0.0,top
SW8,142.875,-9.525,0.0,bottom
SW9,161.925,-9.525,0.0,bottom
U1,101.6,-85.725,135.0,bottom
U2,103.378,-76.9874,90.0,bottom
U4,113.919,-84.074,90.0,bottom
Y1,92.964,-90.17,225.0,bottom
