Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6",0402,5,1u,
"C10, C11",0402,2,22p,
"C13, C14, C15, C16, C5, C7, C8, C9",0402,8,100n,
C3,0603,1,10u,
J1,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16,
J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J4,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R3, R8, R9",0402,3,5.1k,
"R4, R5",0402,2,27,
"R6, R7",0402,2,1k,
SW76,PinHeader_1x02_P1.27mm_Vertical,1,SW_RESET,
SW77,PinHeader_1x02_P1.27mm_Vertical,1,SW_BOOTSEL,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206PxxxMR,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
