Designator,Mid X,Mid Y,Rotation,Layer
C1,35.703982,-35.686767,270.0,bottom
C10,56.27798,-40.258769,135.0,bottom
C11,56.531982,-43.611569,225.0,bottom
C12,40.148981,-24.790167,180.0,bottom
C13,50.953192,-42.858779,315.0,bottom
C14,51.537392,-42.27458,315.0,bottom
C15,48.886581,-32.460968,45.0,bottom
C16,52.112381,-34.950168,45.0,bottom
C2,37.888381,-32.079967,180.0,bottom
C3,39.564781,-38.277568,225.0,bottom
C4,42.460381,-36.016968,135.0,bottom
C5,43.450981,-33.527768,135.0,bottom
C6,41.164981,-38.988768,225.0,bottom
C7,41.876181,-36.601168,135.0,bottom
C8,43.095381,-34.340568,135.0,bottom
C9,43.654181,-43.103568,225.0,bottom
J1,60.96,-18.669,0.0,top
J2,35.052,-26.416,0.0,bottom
J3,42.330027,-51.844522,315.0,bottom
J4,27.94,-55.88,180.0,top
J5,27.94,-30.48,180.0,top
R3,45.889381,-51.536368,225.0,bottom
R4,41.571381,-33.375368,315.0,bottom
R5,40.961782,-33.984968,315.0,bottom
R6,53.17918,-43.357569,135.0,bottom
R7,45.12738,-24.795145,0.0,bottom
R8,45.127381,-23.789358,180.0,bottom
R9,45.127381,-22.783568,180.0,bottom
SW76,43.702562,-53.723188,315.0,bottom
SW77,41.835781,-24.561568,270.0,bottom
U1,47.311781,-38.023568,225.0,bottom
U2,37.888381,-34.619968,270.0,bottom
U4,44.365381,-28.117568,180.0,bottom
Y1,54.703181,-41.782768,135.0,bottom
