Designator,Mid X,Mid Y,Rotation,Layer
C1,103.7336,-80.7466,135.0,bottom
C10,108.3564,-85.9536,180.0,bottom
C11,104.7242,-90.3986,180.0,bottom
C12,92.329,-92.6084,225.0,bottom
C13,105.5624,-76.7588,90.0,bottom
C14,105.9942,-75.3872,180.0,bottom
C15,91.0844,-88.4174,135.0,bottom
C16,119.6848,-86.36,180.0,bottom
C2,105.9942,-82.2452,180.0,bottom
C3,96.8248,-88.7984,0.0,bottom
C4,100.4824,-78.8924,45.0,bottom
C5,100.0252,-80.137,45.0,bottom
C6,103.0732,-80.0862,135.0,bottom
C7,105.9942,-81.3308,180.0,bottom
C8,96.774,-82.6516,45.0,bottom
C9,96.4438,-89.7382,0.0,bottom
D1,7.239,-11.811,225.0,bottom
D10,192.9765,-11.811,225.0,bottom
D100,-185.1138,-9.5854,0.0,bottom
D101,-185.1138,-12.9354,0.0,bottom
D102,-185.1138,-16.2854,0.0,bottom
D103,-185.1138,-19.6354,0.0,bottom
D104,-185.1138,-22.9854,0.0,bottom
D105,-185.1138,-26.3354,0.0,bottom
D106,-185.1138,-29.6854,0.0,bottom
D107,-185.1138,-33.0354,0.0,bottom
D108,-185.1138,-36.3854,0.0,bottom
D109,-185.1138,-39.7354,0.0,bottom
D11,212.0265,-11.811,225.0,bottom
D110,-185.1138,-43.0854,0.0,bottom
D111,-185.1138,-46.4354,0.0,bottom
D112,-185.1138,-49.7854,0.0,bottom
D113,-127.1276,0.6858,0.0,bottom
D114,-190.8638,-2.8854,0.0,bottom
D115,-190.8638,-6.2354,0.0,bottom
D116,-190.8638,-9.5854,0.0,bottom
D117,-190.8638,-12.9354,0.0,bottom
D118,-190.8638,-16.2854,0.0,bottom
D119,-190.8638,-19.6354,0.0,bottom
D12,231.0765,-11.811,225.0,bottom
D120,-190.8638,-22.9854,0.0,bottom
D121,-190.8638,-26.3354,0.0,bottom
D122,-190.8638,-29.6854,0.0,bottom
D123,-190.8638,-33.0354,0.0,bottom
D124,-190.8638,-36.3854,0.0,bottom
D13,250.1265,-11.811,225.0,bottom
D14,273.939,-11.811,225.0,bottom
D15,302.514,-11.811,225.0,bottom
D16,321.564,-11.811,225.0,bottom
D17,340.614,-11.811,225.0,bottom
D18,-156.3638,-2.8854,0.0,bottom
D19,-156.3638,-6.2354,0.0,bottom
D2,31.0515,-11.811,225.0,bottom
D20,-156.3638,-9.5854,0.0,bottom
D21,-156.3638,-12.9354,0.0,bottom
D22,-156.3638,-16.2854,0.0,bottom
D23,-156.3638,-19.6354,0.0,bottom
D24,-156.3638,-22.9854,0.0,bottom
D25,-156.3638,-26.3354,0.0,bottom
D26,-156.3638,-29.6854,0.0,bottom
D27,-156.3638,-33.0354,0.0,bottom
D28,-156.3638,-36.3854,0.0,bottom
D29,-156.3638,-39.7354,0.0,bottom
D3,50.1015,-11.811,225.0,bottom
D30,-156.3638,-43.0854,0.0,bottom
D31,-156.3638,-46.4354,0.0,bottom
D32,-156.3638,-49.7854,0.0,bottom
D33,-162.1138,0.4646,0.0,bottom
D34,-162.1138,-2.8854,0.0,bottom
D35,-162.1138,-6.2354,0.0,bottom
D36,-162.1138,-9.5854,0.0,bottom
D37,-162.1138,-12.9354,0.0,bottom
D38,-162.1138,-16.2854,0.0,bottom
D39,-162.1138,-19.6354,0.0,bottom
D4,69.1515,-11.811,225.0,bottom
D40,-162.1138,-22.9854,0.0,bottom
D41,-162.1138,-26.3354,0.0,bottom
D42,-162.1138,-29.6854,0.0,bottom
D43,-162.1138,-33.0354,0.0,bottom
D44,-162.1138,-36.3854,0.0,bottom
D45,-162.1138,-39.7354,0.0,bottom
D46,-162.1138,-43.0854,0.0,bottom
D47,-162.1138,-46.4354,0.0,bottom
D48,-162.1138,-49.7854,0.0,bottom
D49,-167.8638,0.4646,0.0,bottom
D5,88.2015,-11.811,225.0,bottom
D50,-167.8638,-2.8854,0.0,bottom
D51,-167.8638,-6.2354,0.0,bottom
D52,-167.8638,-9.5854,0.0,bottom
D53,-167.8638,-12.9354,0.0,bottom
D54,-167.8638,-16.2854,0.0,bottom
D55,-167.8638,-19.6354,0.0,bottom
D56,-167.8638,-22.9854,0.0,bottom
D57,-167.8638,-26.3354,0.0,bottom
D58,-167.8638,-29.6854,0.0,bottom
D59,-167.8638,-33.0354,0.0,bottom
D6,112.014,-11.811,225.0,bottom
D60,-167.8638,-36.3854,0.0,bottom
D61,-167.8638,-39.7354,0.0,bottom
D62,-167.8638,-43.0854,0.0,bottom
D63,-167.8638,-46.4354,0.0,bottom
D64,-167.8638,-49.7854,0.0,bottom
D65,-173.6138,0.4646,0.0,bottom
D66,-173.6138,-2.8854,0.0,bottom
D67,-173.6138,-6.2354,0.0,bottom
D68,-173.6138,-9.5854,0.0,bottom
D69,-173.6138,-12.9354,0.0,bottom
D7,131.064,-11.811,225.0,bottom
D70,-173.6138,-16.2854,0.0,bottom
D71,-173.6138,-19.6354,0.0,bottom
D72,-173.6138,-22.9854,0.0,bottom
D73,-173.6138,-26.3354,0.0,bottom
D74,-173.6138,-29.6854,0.0,bottom
D75,-173.6138,-33.0354,0.0,bottom
D76,-173.6138,-36.3854,0.0,bottom
D77,-173.6138,-39.7354,0.0,bottom
D78,-173.6138,-43.0854,0.0,bottom
D79,-173.6138,-46.4354,0.0,bottom
D8,150.114,-11.811,225.0,bottom
D80,-173.6138,-49.7854,0.0,bottom
D81,-179.3638,0.4646,0.0,bottom
D82,-179.3638,-2.8854,0.0,bottom
D83,-179.3638,-6.2354,0.0,bottom
D84,-179.3638,-9.5854,0.0,bottom
D85,-179.3638,-12.9354,0.0,bottom
D86,-179.3638,-16.2854,0.0,bottom
D87,-179.3638,-19.6354,0.0,bottom
D88,-179.3638,-22.9854,0.0,bottom
D89,-179.3638,-26.3354,0.0,bottom
D9,169.164,-11.811,225.0,bottom
D90,-179.3638,-29.6854,0.0,bottom
D91,-179.3638,-33.0354,0.0,bottom
D92,-179.3638,-36.3854,0.0,bottom
D93,-179.3638,-39.7354,0.0,bottom
D94,-179.3638,-43.0854,0.0,bottom
D95,-179.3638,-46.4354,0.0,bottom
D96,-179.3638,-49.7854,0.0,bottom
D97,-185.1138,0.4646,0.0,bottom
D98,-185.1138,-2.8854,0.0,bottom
D99,-185.1138,-6.2354,0.0,bottom
J1,75.5396,-83.175,0.0,bottom
R1,106.431024,-79.877976,315.0,bottom
R2,105.745224,-79.192176,315.0,bottom
R4,94.2848,-88.4174,225.0,bottom
R6,76.7588,-85.08,90.0,bottom
R7,119.7102,-85.4202,0.0,bottom
R8,119.7102,-84.455,180.0,bottom
R9,119.7102,-83.4898,0.0,bottom
SW125,90.4494,-85.075001,0.0,bottom
SW126,122.936,-85.075,0.0,bottom
U1,103.378,-76.9874,270.0,bottom
U2,101.6,-85.725,45.0,bottom
U3,113.919,-84.074,180.0,bottom
Y1,92.964,-90.17,225.0,bottom
