Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C5",0402,5,1u,
"C10, C11, C12, C2, C3, C6, C7, C8, C9",0402,9,100n,
"C16, C17",0402,2,22p,
C4,0402,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D40, D41, D5, D6, D7, D8, D9",D_SOD-123_mod,39,1N4148W,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,ZX-SH1.0-4PWT,
"R1, R2",0402,2,27,
"R3, R5, R6",0402,3,5.1k,
"R4, R7",0402,2,1k,
RSW1,alpsalpine_SRBV,1,SW_Rotary_1x8_MP,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_HS_S_CPG151101S11_1u_mod,38,CPG151101S11,
U1,SOT-23-3,1,XC6206P332MR-G,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
