Designator,Mid X,Mid Y,Rotation,Layer
C1,-36.63739,-47.504107,97.0,bottom
C10,-40.479346,-49.787921,7.0,bottom
C11,-38.463674,-47.27987,97.0,bottom
C12,-35.049322,-47.699103,97.0,bottom
C13,-29.802922,-25.115151,7.0,bottom
C14,-32.06592,-24.83729,187.0,bottom
C15,-30.457108,-45.9104,97.0,bottom
C16,-32.148254,-61.078636,97.0,bottom
C17,-34.604137,-63.356323,7.0,bottom
C2,-34.13619,-47.811227,97.0,bottom
C3,-37.31155,-58.574472,277.0,bottom
C4,-40.367236,-48.874769,7.0,bottom
C5,-37.550541,-47.391988,97.0,bottom
C6,-29.491867,-51.137008,187.0,bottom
C7,-29.930601,-54.71018,187.0,bottom
C8,-36.398425,-58.686584,277.0,bottom
C9,-40.918086,-53.361086,7.0,bottom
D1,-3.317136,-2.59161,52.0,bottom
D10,-44.615559,-26.310388,52.0,bottom
D11,-7.960359,-40.407626,52.0,bottom
D12,-27.448762,-42.813014,52.0,bottom
D13,10.367245,-47.456236,52.0,bottom
D14,29.275248,-49.777839,52.0,bottom
D15,-46.937173,-45.2184,52.0,bottom
D16,-21.720905,-59.710459,52.0,bottom
D18,8.04563,-66.364241,52.0,bottom
D19,34.635021,-69.629003,52.0,bottom
D2,-22.805542,-4.997,52.0,bottom
D20,124.264961,-3.317125,38.0,bottom
D21,87.02935,-12.687345,38.0,bottom
D22,105.937349,-10.365727,38.0,bottom
D23,143.753358,-5.722503,38.0,bottom
D24,163.241768,-8.127899,38.0,bottom
D25,126.586568,-22.225125,38.0,bottom
D26,89.350963,-31.595351,38.0,bottom
D27,108.258965,-29.273737,38.0,bottom
D28,146.074966,-24.630512,38.0,bottom
D29,165.563382,-27.0359,38.0,bottom
D3,15.010467,-9.640221,52.0,bottom
D30,128.908177,-41.133125,38.0,bottom
D31,91.67258,-50.503345,38.0,bottom
D32,110.58057,-48.181736,38.0,bottom
D33,148.396576,-43.538517,38.0,bottom
D34,167.884987,-45.943901,38.0,bottom
D36,93.994189,-69.411354,38.0,bottom
D37,120.583568,-66.146587,38.0,bottom
D38,134.17369,-64.477933,38.0,bottom
D39,53.903199,-32.407704,90.0,bottom
D4,33.918469,-11.961833,52.0,bottom
D40,53.903201,-74.605379,90.0,bottom
D41,53.004159,-59.305381,270.0,bottom
D5,-42.293956,-7.402396,52.0,bottom
D6,-5.638746,-21.499621,52.0,bottom
D7,-30.291248,-21.871458,52.0,bottom
D8,12.688863,-28.548226,52.0,bottom
D9,31.596857,-30.869837,52.0,bottom
EC1,63.428301,-32.616984,0.0,top
EC2,63.50138963380898,-65.943541232686,17.0,top
J1,-26.063381,-29.040139,277.0,bottom
J2,-39.11552614732717,-59.424943685838926,218.0,top
PSW1,-10.689922,-67.523016,7.0,bottom
PSW2,-10.373056,-64.942413,7.0,bottom
R1,-35.152627,-45.832614,277.0,bottom
R2,-36.085603,-45.718057,97.0,bottom
R3,-17.893542,-67.112063,187.0,bottom
R4,-36.443992,-60.534818,277.0,bottom
R5,-17.778977,-66.179061,187.0,bottom
R6,-17.576668,-64.531446,7.0,bottom
R7,-17.462115,-63.598444,7.0,bottom
SW1,0.0,0.0,7.0,bottom
SW10,-41.298428,-23.718788,7.0,bottom
SW11,-4.643234,-37.81601,7.0,bottom
SW12,-24.131628,-40.221404,7.0,bottom
SW13,13.684379,-44.864629,7.0,bottom
SW14,32.592383,-47.186229,7.0,bottom
SW15,-43.620033,-42.626784,7.0,bottom
SW16,-9.908734,-61.16081,7.0,bottom
SW17,20.816771,-64.933433,187.0,bottom
SW18,11.362764,-63.772627,7.0,bottom
SW19,30.27077,-66.094231,7.0,bottom
SW2,-19.488409,-2.405388,7.0,bottom
SW20,126.856592,-3e-06,353.0,bottom
SW21,89.620977,-9.370219,353.0,bottom
SW22,108.528984,-7.048614,353.0,bottom
SW23,146.344995,-2.405388,353.0,bottom
SW24,165.833401,-4.810788,353.0,bottom
SW25,129.178192,-18.907998,353.0,bottom
SW26,91.942591,-28.278226,353.0,bottom
SW27,110.850597,-25.956614,353.0,bottom
SW28,148.666607,-21.313391,353.0,bottom
SW29,168.15501,-23.718795,353.0,bottom
SW3,18.327594,-7.048606,7.0,bottom
SW30,131.499807,-37.81601,353.0,bottom
SW31,94.2642,-47.186228,353.0,bottom
SW32,113.172209,-44.864622,353.0,bottom
SW33,150.988216,-40.221385,353.0,bottom
SW34,170.47662,-42.626798,353.0,bottom
SW35,106.039811,-64.933427,173.0,bottom
SW36,96.585825,-66.094237,353.0,bottom
SW37,115.493824,-63.772624,353.0,bottom
SW38,136.765324,-61.16081,353.0,bottom
SW4,37.235606,-9.37022,7.0,bottom
SW5,-38.976815,-4.810785,7.0,bottom
SW6,-2.32162,-18.908012,7.0,bottom
SW7,-21.810021,-21.313403,7.0,bottom
SW8,16.005986,-25.956615,7.0,bottom
SW9,34.914002,-28.278233,7.0,bottom
U1,-31.197663,-27.120122,7.0,bottom
U2,-35.326833,-53.24159,97.0,bottom
U3,-32.303032,-46.912914,97.0,bottom
Y1,-34.292155,-60.815401,97.0,bottom
