Designator,Mid X,Mid Y,Rotation,Layer
C1,-36.637387,-47.504104,97.0,bottom
C10,-40.479347,-49.787919,7.0,bottom
C11,-38.463672,-47.27987,97.0,bottom
C12,-35.049322,-47.699095,97.0,bottom
C13,-20.374793,-26.48664,7.0,bottom
C14,-22.637796,-26.20878,187.0,bottom
C15,-30.457106,-45.910396,97.0,bottom
C16,-32.148249,-61.078634,97.0,bottom
C17,-34.604136,-63.356319,7.0,bottom
C2,-34.136184,-47.811222,97.0,bottom
C3,-37.311548,-58.574469,277.0,bottom
C4,-40.367235,-48.874763,7.0,bottom
C5,-37.550538,-47.391981,97.0,bottom
C6,-29.491863,-51.137005,187.0,bottom
C7,-29.930598,-54.710173,187.0,bottom
C8,-36.39842,-58.686583,277.0,bottom
C9,-40.918083,-53.361081,7.0,bottom
D1,-3.317131,-2.591603,52.0,bottom
D10,-44.615557,-26.310387,52.0,bottom
D11,-7.960361,-40.407622,52.0,bottom
D12,-27.448763,-42.813013,52.0,bottom
D13,10.367251,-47.456229,52.0,bottom
D14,29.275251,-49.777835,52.0,bottom
D15,-46.937176,-45.2184,52.0,bottom
D16,-10.288676,-51.442518,232.0,bottom
D18,8.045634,-66.364236,52.0,bottom
D19,34.635027,-69.629002,52.0,bottom
D2,-22.805541,-4.996998,52.0,bottom
D20,124.264961,-3.317118,38.0,bottom
D21,87.029351,-12.687338,38.0,bottom
D22,105.937354,-10.365724,38.0,bottom
D23,143.753364,-5.7225,38.0,bottom
D24,163.241773,-8.127897,38.0,bottom
D25,126.586572,-22.225123,38.0,bottom
D26,89.350965,-31.595346,38.0,bottom
D27,108.258965,-29.27373,38.0,bottom
D28,146.074974,-24.630508,38.0,bottom
D29,165.563383,-27.035898,38.0,bottom
D3,15.010469,-9.640217,52.0,bottom
D30,128.908179,-41.133123,38.0,bottom
D31,91.672577,-50.503343,38.0,bottom
D32,110.580573,-48.181734,38.0,bottom
D33,148.396585,-43.538509,38.0,bottom
D34,167.884992,-45.943896,38.0,bottom
D36,93.994188,-69.411353,38.0,bottom
D37,120.583572,-66.146585,38.0,bottom
D38,134.173691,-64.477933,38.0,bottom
D39,53.903296,-32.405375,90.0,bottom
D4,33.91847,-11.961831,52.0,bottom
D40,53.903295,-66.405378,90.0,bottom
D5,-42.293952,-7.402394,52.0,bottom
D6,-5.638747,-21.49962,52.0,bottom
D7,-25.12715,-23.905003,52.0,bottom
D8,12.688862,-28.548223,52.0,bottom
D9,31.596861,-30.869835,52.0,bottom
EC1,63.428305,-32.616984,0.0,top
EC2,63.428298,-65.954467,0.0,top
J1,-16.635244,-30.411632,277.0,bottom
J2,-39.11552374365495,-59.42494085818821,218.0,top
PSW1,-10.689917,-67.523015,7.0,bottom
PSW2,-10.373054,-64.942409,7.0,bottom
R1,-35.152625,-45.832608,277.0,bottom
R2,-36.085606,-45.71805,97.0,bottom
R3,-17.893537,-67.112059,187.0,bottom
R4,-36.443989,-60.534817,277.0,bottom
R5,-17.778974,-66.179061,187.0,bottom
R6,-17.576665,-64.531438,7.0,bottom
R7,-17.462113,-63.598439,7.0,bottom
SW1,0.0,0.0,7.0,bottom
SW10,-41.298424,-23.718782,7.0,bottom
SW11,-4.643229,-37.81601,7.0,bottom
SW12,-24.13163,-40.221401,7.0,bottom
SW13,13.684384,-44.864624,7.0,bottom
SW14,32.592388,-47.186223,7.0,bottom
SW15,-43.620035,-42.626782,7.0,bottom
SW16,-9.908731,-61.160806,7.0,bottom
SW17,20.81677,-64.933429,187.0,bottom
SW18,11.362768,-63.772624,7.0,bottom
SW19,30.270771,-66.094227,7.0,bottom
SW2,-19.488405,-2.405386,7.0,bottom
SW20,126.856597,2e-06,353.0,bottom
SW21,89.620985,-9.370215,353.0,bottom
SW22,108.528988,-7.048611,353.0,bottom
SW23,146.344997,-2.405384,353.0,bottom
SW24,165.833401,-4.810781,353.0,bottom
SW25,129.1782,-18.907997,353.0,bottom
SW26,91.942592,-28.278224,353.0,bottom
SW27,110.850598,-25.956612,353.0,bottom
SW28,148.66661,-21.313385,353.0,bottom
SW29,168.155012,-23.718788,353.0,bottom
SW3,18.3276,-7.048607,7.0,bottom
SW30,131.499811,-37.816005,353.0,bottom
SW31,94.264205,-47.186225,353.0,bottom
SW32,113.172213,-44.864616,353.0,bottom
SW33,150.988225,-40.221386,353.0,bottom
SW34,170.476627,-42.626795,353.0,bottom
SW35,106.039814,-64.933428,173.0,bottom
SW36,96.585823,-66.094234,353.0,bottom
SW37,115.493823,-63.772619,353.0,bottom
SW38,136.765328,-61.160807,353.0,bottom
SW4,37.235609,-9.370218,7.0,bottom
SW5,-38.976814,-4.810782,7.0,bottom
SW6,-2.321616,-18.908006,7.0,bottom
SW7,-21.810017,-21.313395,7.0,bottom
SW8,16.005991,-25.956612,7.0,bottom
SW9,34.914004,-28.278231,7.0,bottom
U1,-21.769537,-28.491612,7.0,bottom
U2,-35.326835,-53.241594,97.0,bottom
U3,-32.303027,-46.912913,97.0,bottom
Y1,-34.292153,-60.815396,97.0,bottom
