Designator,Mid X,Mid Y,Rotation,Layer
C1,-78.744301,123.824094,45.0,bottom
C10,-79.309986,119.390532,315.0,bottom
C11,-80.045375,122.523014,45.0,bottom
C12,-77.612931,124.955457,45.0,bottom
C13,-77.60625,144.764471,0.0,bottom
C14,-79.886248,144.764471,180.0,bottom
C15,-76.195185,129.675403,45.0,bottom
C16,-65.283632,119.004264,45.0,bottom
C17,-65.000788,115.666724,315.0,bottom
C2,-76.962393,125.605999,45.0,bottom
C3,-70.435794,116.477253,225.0,bottom
C4,-79.960525,120.041067,315.0,bottom
C5,-79.394841,123.173548,45.0,bottom
C6,-71.482309,127.218201,135.0,bottom
C7,-68.93673,124.672618,135.0,bottom
C8,-69.785256,117.127786,225.0,bottom
C9,-76.764401,116.844946,315.0,bottom
D1,4.976067,-13.206436,52.0,bottom
D10,-36.322358,-36.92522,52.0,bottom
D11,0.332845,-51.022444,52.0,bottom
D12,-19.155562,-53.427834,52.0,bottom
D13,18.660446,-58.071056,52.0,bottom
D14,37.568452,-60.392667,52.0,bottom
D15,-38.643969,-55.833224,52.0,bottom
D16,-4.932668,-74.367248,52.0,bottom
D17,25.792838,-78.139866,52.0,bottom
D18,132.558162,-13.931939,38.0,bottom
D19,95.322555,-23.302163,38.0,bottom
D2,-14.51234,-15.611826,52.0,bottom
D20,114.23056,-20.980552,38.0,bottom
D21,152.046568,-16.33733,38.0,bottom
D22,171.534975,-18.74272,38.0,bottom
D23,134.879773,-32.839944,38.0,bottom
D24,97.644166,-42.210166,38.0,bottom
D25,116.552172,-39.888556,38.0,bottom
D26,154.368179,-35.245334,38.0,bottom
D27,173.856586,-37.650724,38.0,bottom
D28,137.201384,-51.747948,38.0,bottom
D29,99.965777,-61.118171,38.0,bottom
D3,23.303668,-20.255048,52.0,bottom
D30,118.873783,-58.79656,38.0,bottom
D31,156.68979,-54.153337,38.0,bottom
D32,176.178197,-56.558728,38.0,bottom
D33,111.74139,-78.86537,38.0,bottom
D34,142.466897,-75.092752,38.0,bottom
D35,63.387109,-49.530224,45.0,bottom
D36,63.387109,-82.867752,45.0,bottom
D4,42.211674,-22.576659,52.0,bottom
D5,-34.000747,-18.017216,52.0,bottom
D6,2.654456,-32.11444,52.0,bottom
D7,-16.833951,-34.51983,52.0,bottom
D8,20.982057,-39.163052,52.0,bottom
D9,39.890063,-41.484663,52.0,bottom
EC1,71.721491,-43.231781,0.0,top
EC2,71.721491,-76.569279,0.0,top
J1,-73.416251,141.324471,270.0,bottom
J2,-70.876251,114.532104,270.0,top
PSW1,-91.45125,119.57447,0.0,top
PSW2,-91.451249,123.07447,0.0,top
R1,-79.147348,126.023192,225.0,bottom
R2,-79.812028,125.358512,45.0,bottom
R3,-84.23125,118.534471,270.0,bottom
R4,-68.356898,115.953992,225.0,bottom
R5,-84.231249,120.39447,90.0,bottom
R6,-84.231249,122.254471,90.0,bottom
R7,-84.23125,124.11447,270.0,bottom
SW1,8.293196,-10.614809,7.0,bottom
SW10,-33.005229,-34.333594,7.0,bottom
SW11,3.649974,-48.430818,7.0,bottom
SW12,-15.838433,-50.836208,7.0,bottom
SW13,21.977576,-55.47943,7.0,bottom
SW14,40.885581,-57.801041,7.0,bottom
SW15,-35.32684,-53.241598,7.0,bottom
SW16,-1.615539,-71.775622,7.0,bottom
SW17,29.109968,-75.54824,7.0,bottom
SW18,135.149787,-10.61481,353.0,bottom
SW19,97.91418,-19.985033,353.0,bottom
SW2,-11.195211,-13.020199,7.0,bottom
SW20,116.822185,-17.663422,353.0,bottom
SW21,154.638193,-13.020199,353.0,bottom
SW22,174.1266,-15.42559,353.0,bottom
SW23,137.471398,-29.522813,353.0,bottom
SW24,100.235791,-38.893037,353.0,bottom
SW25,119.143797,-36.571426,353.0,bottom
SW26,156.959804,-31.928204,353.0,bottom
SW27,176.448211,-34.333594,353.0,bottom
SW28,139.793009,-48.430818,353.0,bottom
SW29,102.557402,-57.801041,353.0,bottom
SW3,26.620798,-17.663421,7.0,bottom
SW30,121.465408,-55.47943,353.0,bottom
SW31,159.281415,-50.836208,353.0,bottom
SW32,178.769822,-53.241597,353.0,bottom
SW33,114.333015,-75.548239,353.0,bottom
SW34,145.058522,-71.775622,353.0,bottom
SW4,45.528803,-19.985032,7.0,bottom
SW5,-30.683618,-15.425589,7.0,bottom
SW6,5.971585,-29.522814,7.0,bottom
SW7,-13.516822,-31.928204,7.0,bottom
SW8,24.299187,-36.571426,7.0,bottom
SW9,43.207192,-38.893037,7.0,bottom
U1,-78.74625,142.604471,0.0,bottom
U2,-73.416251,121.32447,45.0,bottom
U3,-76.541668,127.603579,45.0,bottom
Y1,-66.810979,117.476914,45.0,bottom
