Designator,Mid X,Mid Y,Rotation,Layer
C1,288.264601,-26.263599,270.0,bottom
C10,308.838599,-30.835601,135.0,bottom
C11,309.092601,-34.188401,225.0,bottom
C12,292.7096,-15.366999,180.0,bottom
C13,303.513811,-33.435611,315.0,bottom
C14,304.098011,-32.851412,315.0,bottom
C15,301.4472,-23.0378,45.0,bottom
C16,304.673,-25.527,45.0,bottom
C2,290.449,-22.656799,180.0,bottom
C3,292.1254,-28.8544,225.0,bottom
C4,295.021,-26.5938,135.0,bottom
C5,296.0116,-24.1046,135.0,bottom
C6,293.7256,-29.5656,225.0,bottom
C7,294.4368,-27.178,135.0,bottom
C8,295.656,-24.9174,135.0,bottom
C9,296.2148,-33.6804,225.0,bottom
D1,6.985,-12.319,315.0,bottom
D10,178.435,-12.319,315.0,bottom
D11,197.485,-12.319,315.0,bottom
D12,216.535,-12.319,315.0,bottom
D13,235.585,-12.319,315.0,bottom
D14,254.635,-12.319,315.0,bottom
D15,264.16,-12.319,315.0,bottom
D17,11.7475,-31.369,315.0,bottom
D18,35.56,-31.369,315.0,bottom
D19,54.61,-31.369,315.0,bottom
D2,26.035,-12.319,315.0,bottom
D20,73.66,-31.369,315.0,bottom
D21,92.71,-31.369,315.0,bottom
D22,111.76,-31.369,315.0,bottom
D23,130.81,-31.369,315.0,bottom
D24,149.86,-31.369,315.0,bottom
D25,168.91,-31.369,315.0,bottom
D26,187.96,-31.369,315.0,bottom
D27,207.01,-31.369,315.0,bottom
D28,226.06,-31.369,315.0,bottom
D29,245.11,-31.369,315.0,bottom
D3,45.085,-12.319,315.0,bottom
D31,271.30375,-40.894,315.0,bottom
D32,312.166,-12.319,315.0,bottom
D33,9.36625,-50.419,315.0,bottom
D35,40.3225,-50.419,315.0,bottom
D36,59.3725,-50.419,315.0,bottom
D37,78.4225,-50.419,315.0,bottom
D38,97.4725,-50.419,315.0,bottom
D39,116.5225,-50.419,315.0,bottom
D4,64.135,-12.319,315.0,bottom
D40,135.5725,-50.419,315.0,bottom
D41,154.6225,-50.419,315.0,bottom
D42,173.6725,-50.419,315.0,bottom
D43,192.7225,-50.419,315.0,bottom
D44,211.7725,-50.419,315.0,bottom
D45,230.8225,-50.419,315.0,bottom
D46,249.8725,-50.419,315.0,bottom
D48,312.166,-50.419,315.0,bottom
D49,18.89125,-69.469,315.0,bottom
D5,83.185,-12.319,315.0,bottom
D50,49.8475,-69.469,315.0,bottom
D51,68.8975,-69.469,315.0,bottom
D52,87.9475,-69.469,315.0,bottom
D53,106.9975,-69.469,315.0,bottom
D54,126.0475,-69.469,315.0,bottom
D55,145.0975,-69.469,315.0,bottom
D56,164.1475,-69.469,315.0,bottom
D57,183.1975,-69.469,315.0,bottom
D58,202.2475,-69.469,315.0,bottom
D59,221.2975,-69.469,315.0,bottom
D6,102.235,-12.319,315.0,bottom
D60,247.49125,-69.469,315.0,bottom
D61,273.685,-69.469,315.0,bottom
D62,8.89,-88.519,315.0,bottom
D64,32.7025,-88.519,315.0,bottom
D66,56.515,-88.519,315.0,bottom
D68,128.42875,-88.519,315.0,bottom
D7,121.285,-12.319,315.0,bottom
D70,199.86625,-88.519,315.0,bottom
D72,230.759,-88.519,315.0,bottom
D73,254.635,-88.519,315.0,bottom
D74,273.685,-88.519,315.0,bottom
D75,292.735,-88.519,315.0,bottom
D8,140.335,-12.319,315.0,bottom
D9,159.385,-12.319,315.0,bottom
J2,257.6576,-28.702,90.0,bottom
J3,294.890646,-42.421354,315.0,bottom
R3,298.45,-42.1132,225.0,bottom
R4,294.132,-23.9522,315.0,bottom
R5,293.522401,-24.5618,315.0,bottom
R6,305.739799,-33.934401,135.0,bottom
R7,297.687999,-15.371977,0.0,bottom
R8,297.688,-14.36619,180.0,bottom
R9,297.688,-13.3604,180.0,bottom
SW32,314.299995,-9.550001,0.0,top
SW48,314.299995,-47.649999,0.0,top
SW76,296.263181,-44.30002,315.0,bottom
SW77,294.3964,-15.1384,270.0,bottom
U1,299.8724,-28.6004,225.0,bottom
U2,290.449,-25.1968,270.0,bottom
U4,296.926,-18.6944,180.0,bottom
Y1,307.2638,-32.3596,135.0,bottom
