Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6",0402,5,1u,
"C10, C11",0402,2,22p,
C3,0603,1,10u,
"C5, C7, C8, C9",0402,4,100n,
"D1, D2, D3, D4",D_SOD-123,4,D,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,ZX-SH1.0-4PWT,
"PSW1, PSW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SKRPACE010,
"R1, R6, R7",0402,3,5.1k,
"R2, R3",0402,2,27,
"R4, R5",0402,2,1k,
"SW1, SW2, SW3, SW4",SW_MX_HS_S_CPG151101S11_1u,4,MX_SW,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206P332MR-G,
U3,SOT-23-6-routable,1,SRV05-4,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
