Designator,Mid X,Mid Y,Rotation,Layer
C1,81.71625,-91.815625,180.0,bottom
C10,84.58625,-87.875625,180.0,bottom
C11,84.58625,-85.905625,180.0,bottom
C12,84.58625,-83.935625,180.0,bottom
C2,81.71625,-89.845625,180.0,bottom
C3,74.130625,-75.750625,180.0,bottom
C4,81.71625,-87.875625,180.0,bottom
C5,81.71625,-85.905625,180.0,bottom
C6,81.71625,-83.935625,180.0,bottom
C7,81.71625,-81.965625,180.0,bottom
C8,84.58625,-91.815625,180.0,bottom
C9,84.58625,-89.845625,180.0,bottom
D1,54.769,-40.480999,45.0,bottom
D2,92.869,-40.480999,45.0,bottom
D3,54.769,-59.530999,45.0,bottom
D4,92.869,-59.530999,45.0,bottom
J1,56.840625,-75.390625,180.0,bottom
PSW1,83.65625,-78.605625,180.0,bottom
PSW2,91.59,-73.772525,180.0,bottom
R1,91.08,-90.866275,180.0,bottom
R2,91.08,-88.876275,180.0,bottom
R3,91.08,-86.886275,180.0,bottom
R4,91.08,-84.896275,180.0,bottom
R5,91.08,-82.906275,180.0,bottom
R6,91.08,-80.916275,180.0,bottom
R7,91.08,-78.926275,180.0,bottom
SW1,57.15,-38.1,0.0,bottom
SW2,95.25,-38.1,0.0,bottom
SW3,57.15,-57.15,0.0,bottom
SW4,95.25,-57.15,0.0,bottom
U1,57.070625,-83.850625,270.0,bottom
U2,64.300625,-79.055625,0.0,bottom
U3,69.535625,-79.230625,0.0,bottom
U4,70.250625,-85.080625,90.0,bottom
Y1,69.500625,-74.780625,180.0,bottom
