Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C5",0402,5,1u,
"C10, C11, C12, C2, C3, C6, C7, C8, C9",0402,9,100n,
"C16, C17",0402,2,22p,
C4,0603,1,10u,
D1,D_SOD-123,1,1N4148W,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,ZX-SH1.0-4PWT,
"PSW1, PSW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SKRPACE010,
"R1, R2",0402,2,27,
"R3, R5, R6",0402,3,5.1k,
"R4, R7",0402,2,1k,
SW1,SW_MX_HS_S_CPG151101S11_1u,1,MX_SW,
U1,SOT-23-3,1,XC6206P332MR-G,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
