Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.167185,2.32461,45.0,bottom
C10,-5.584376,-1.907425,315.0,bottom
C11,-6.46826,1.023535,45.0,bottom
C12,-4.021672,3.470123,45.0,bottom
C13,-13.611808,8.74691,225.0,bottom
C14,-11.999603,7.134707,45.0,bottom
C15,-2.603923,8.190062,45.0,bottom
C16,8.158243,-1.370018,45.0,bottom
C17,8.441087,-4.707565,315.0,bottom
C2,2.770092,-4.72171,225.0,bottom
C3,-3.371133,4.120662,45.0,bottom
C4,-7.132942,-0.35886,315.0,bottom
C5,-5.817726,1.674076,45.0,bottom
C6,1.907416,5.584377,135.0,bottom
C7,4.453,3.038792,135.0,bottom
C8,3.420631,-4.071171,225.0,bottom
C9,-3.03879,-4.453005,315.0,bottom
J1,-14.142133,14.142134,135.0,bottom
J2,2.539999,-6.200003,270.0,top
PSW1,-12.249999,-5.250001,45.0,bottom
PSW2,-15.785535,-8.785535,45.0,bottom
R1,-5.563162,4.530783,225.0,bottom
R2,-6.227844,3.866104,45.0,bottom
R3,-6.918417,-10.100754,135.0,bottom
R4,5.096475,-4.431793,225.0,bottom
R5,-8.410411,-11.592751,315.0,bottom
R6,-9.725629,-12.907967,315.0,bottom
R7,-11.040848,-14.223186,135.0,bottom
U1,-11.278354,9.468159,225.0,bottom
U2,0.0,0.0,45.0,bottom
U3,-2.950409,6.118237,45.0,bottom
Y1,6.630896,-2.897372,45.0,bottom
